Date,Time,Open,High,Low,Close,Vol,OI
08/29/2016,16:00,2151.5,2166,2148.25,2163,1245215,2971033
08/30/2016,16:00,2163.75,2165.25,2152.25,2159,1372345,2947680
08/31/2016,16:00,2159.5,2160,2143.25,2153.25,1864629,2969745
09/01/2016,16:00,2153,2161,2138.5,2151,1943431,2968916
09/02/2016,16:00,2150,2167.5,2148,2161.75,1700143,2959084
09/06/2016,16:00,2163,2170,2156.75,2168.25,1627643,2937524
09/07/2016,16:00,2169,2170.5,2161.25,2168.25,1459543,2892549
09/08/2016,16:00,2168.25,2173,2159.5,2161.25,866144,826592
09/09/2016,16:00,2160.5,2162,2103.5,2106.25,2818480,1446823
09/12/2016,16:00,2105.5,2146.25,2090.5,2142.25,3327280,1985223
09/13/2016,16:00,2140.75,2141,2102.5,2112.5,3724471,2442135
09/14/2016,16:00,2115.25,2124.75,2102.25,2103.5,2546136,2691473
09/15/2016,16:00,2105.25,2134.75,2098,2128.25,2301296,2818070
09/16/2016,16:00,2126.75,2127.25,2113.25,2122.75,2064530,2860255
09/19/2016,16:00,2122.5,2137,2118,2123.25,1527880,2886280
09/20/2016,16:00,2124,2133.75,2119.25,2121.25,1385876,2895223
09/21/2016,16:00,2120.25,2147.75,2116.5,2146.5,1826950,2907266
09/22/2016,16:00,2146.5,2163,2143,2158.5,1523998,2912107
09/23/2016,16:00,2158.5,2159.75,2146.25,2148.25,1448300,2905516
09/26/2016,16:00,2146.5,2149.75,2127,2130,1602771,2885941
09/27/2016,16:00,2129.5,2144.25,2123,2143,1659780,2880648
09/28/2016,16:00,2142.25,2155.5,2134.25,2153.5,1733016,2895144
09/29/2016,16:00,2152.5,2157.25,2127.5,2138.75,2306654,2894929
09/30/2016,16:00,2136,2158.5,2126,2150.75,1989690,2898001
10/03/2016,16:00,2149,2154.25,2137,2143.5,1406125,2878657
10/04/2016,16:00,2144,2150,2126.25,2135,2143439,2912290
10/05/2016,16:00,2134.5,2148.25,2131.25,2143.5,1369566,2921730
10/06/2016,16:00,2143.5,2147.5,2133.5,2146.75,1209239,2920563
10/07/2016,16:00,2145.5,2151.75,2128.25,2136.75,1958026,2913295
10/10/2016,16:00,2142.25,2153.75,2138.75,2149.25,952867,2942901
10/11/2016,16:00,2149.75,2151,2112,2124.75,2243746,2927494
10/12/2016,16:00,2123.25,2131,2116.5,2121.75,1483026,2929169
10/13/2016,16:00,2118,2122.5,2098,2116.5,2195134,2928712
10/14/2016,16:00,2116.5,2133.5,2112.5,2117.25,1841156,2920332
10/17/2016,16:00,2116.5,2120.25,2107,2113.25,1251946,2925829
10/18/2016,16:00,2112.75,2130,2110.5,2122.25,1139317,2928096
10/19/2016,16:00,2122,2132.75,2116.75,2128.25,948475,2944305
10/20/2016,16:00,2127.75,2134.75,2117,2127.25,1611098,2944425
10/21/2016,16:00,2126.25,2128.75,2113.5,2125,1409837,2968897
10/24/2016,16:00,2127.25,2139.25,2125,2134.5,1010790,2984151
10/25/2016,16:00,2135,2140,2125.5,2128.25,1198210,2979531
10/26/2016,16:00,2125.5,2130.25,2115,2124.25,1548442,2976108
10/27/2016,16:00,2124,2134,2112.75,2113.75,1795356,2985869
10/28/2016,16:00,2117.5,2125.5,2102.75,2114,2391182,2969629
10/31/2016,16:00,2110.25,2120.75,2105,2110.25,1371713,2977889
11/01/2016,16:00,2113.75,2119.75,2081.25,2094,2257062,2959958
11/02/2016,16:00,2092.5,2096.75,2077.5,2082.5,2013595,2930594
11/03/2016,16:00,2078.5,2089,2070,2073.75,1795490,2951457
11/04/2016,16:00,2074.25,2084.5,2069,2070.25,2079129,2916104
11/07/2016,16:00,2096.25,2121,2093,2119.25,1761750,2903060
11/08/2016,16:00,2119.25,2133.5,2109.25,2125.75,1751369,2896379
11/09/2016,16:00,2128.25,2157,2018.75,2150.5,5280237,2934892
11/10/2016,16:00,2149.75,2170.75,2138,2157.5,3132340,2927509
11/11/2016,16:00,2155.25,2160.75,2138.75,2151.75,1883989,2862982
11/14/2016,16:00,2154.75,2164.75,2142.5,2150.75,1815339,2858070
11/15/2016,16:00,2151.25,2170,2148.75,2169.5,1443589,2867069
11/16/2016,16:00,2169.25,2175.25,2159,2163,1327887,2892791
11/17/2016,16:00,2162.75,2175.75,2162,2174.5,1350348,2918293
11/18/2016,16:00,2174.25,2177.75,2166.75,2171,1280719,2932291
11/21/2016,16:00,2169.75,2186.75,2168.75,2183.25,1233201,2972343
11/22/2016,16:00,2183.5,2193.25,2182,2190.5,1257560,2975324
11/23/2016,16:00,2191.5,2193.75,2182.25,2191,1101994,2980896
11/25/2016,16:00,2191.25,2202,2187.75,2201.5,561560,2997249
11/28/2016,16:00,2198.25,2199.75,2188.5,2191,1371374,2989883
11/29/2016,16:00,2190.5,2199.75,2186.5,2194,1405556,3000528
